iter	Passed	Remaining
569	8396	21064
570	8408	21043
571	8423	21028
572	8434	21004
573	8450	20993
574	8464	20976
575	8472	20944
576	8486	20929
577	8497	20906
578	8508	20880
579	8517	20853
580	8536	20848
581	8552	20836
582	8565	20819
583	8586	20820
584	8597	20795
585	8612	20781
586	8649	20821
587	8662	20802
588	8680	20793
589	8698	20788
590	8711	20768
591	8732	20770
592	8746	20753
593	8765	20746
594	8793	20763
595	8807	20747
596	8835	20763
597	8852	20755
598	8867	20740
599	8877	20715
600	8894	20703
601	8907	20684
602	8922	20671
603	8942	20669
604	8954	20646
605	8961	20613
606	8971	20589
607	8978	20556
608	8987	20527
609	8993	20492
610	9001	20462
611	9006	20427
612	9013	20393
613	9023	20368
614	9033	20343
615	9039	20309
616	9045	20276
617	9053	20246
618	9059	20212
619	9066	20179
620	9071	20145
621	9077	20110
622	9083	20077
623	9089	20043
624	9097	20014
625	9108	19992
626	9122	19976
627	9130	19948
628	9137	19917
629	9149	19896
630	9157	19868
631	9166	19841
632	9178	19821
633	9185	19791
634	9191	19758
635	9201	19733
636	9214	19716
637	9220	19683
638	9227	19653
639	9234	19622
640	9241	19592
641	9248	19563
642	9254	19531
643	9262	19502
644	9268	19470
645	9274	19439
646	9285	19418
647	9294	19391
648	9302	19364
649	9311	19340
650	9319	19311
651	9328	19286
652	9338	19263
653	9345	19234
654	9356	19213
655	9375	19209
656	9383	19180
657	9392	19155
658	9397	19123
659	9405	19095
660	9411	19064
661	9417	19033
662	9423	19004
663	9429	18972
664	9436	18943
665	9447	18923
666	9457	18901
667	9463	18870
668	9470	18841
669	9476	18811
670	9482	18780
671	9488	18751
672	9494	18720
673	9500	18691
674	9509	18665
675	9521	18648
676	9530	18624
677	9541	18603
678	9552	18584
679	9559	18557
680	9569	18534
681	9575	18505
682	9582	18476
683	9589	18449
684	9596	18421
685	9603	18394
686	9612	18371
687	9627	18359
688	9634	18332
689	9640	18303
690	9646	18274
691	9654	18248
692	9660	18219
693	9666	18191
694	9672	18162
695	9679	18134
696	9685	18106
697	9691	18078
698	9706	18066
699	9714	18041
700	9722	18016
701	9731	17993
702	9744	17978
703	9759	17966
704	9770	17946
705	9777	17920
706	9793	17910
707	9803	17890
708	9810	17863
709	9816	17835
710	9822	17807
711	9829	17781
712	9835	17753
713	9841	17725
714	9849	17702
715	9855	17674
716	9863	17649
717	9869	17622
718	9885	17611
719	9892	17586
720	9898	17559
721	9904	17531
722	9911	17506
723	9921	17485
724	9940	17481
725	9957	17474
726	9968	17455
727	10023	17512
728	10036	17497
729	10049	17482
730	10059	17463
731	10067	17438
732	10077	17419
733	10086	17397
734	10188	17535
735	10195	17510
736	10235	17540
737	10242	17515
738	10251	17492
739	10258	17467
740	10269	17447
741	10277	17425
742	10284	17399
743	10291	17374
744	10297	17347
745	10305	17323
746	10322	17315
747	10330	17291
748	10339	17269
749	10346	17244
750	10354	17220
751	10360	17193
752	10367	17168
753	10374	17144
754	10381	17118
755	10388	17093
756	10411	17096
757	10421	17076
758	10431	17056
759	10439	17032
760	10447	17010
761	10454	16985
762	10466	16969
763	10473	16943
764	10483	16923
765	10491	16901
766	10515	16904
767	10521	16878
768	10529	16855
769	10535	16830
770	10542	16804
771	10549	16780
772	10555	16754
773	10563	16731
774	10570	16708
775	10587	16699
776	10595	16677
777	10607	16661
778	10616	16640
779	10637	16638
780	10645	16616
781	10679	16634
782	10686	16609
783	10694	16586
784	10700	16561
785	10707	16538
786	10713	16512
787	10722	16491
788	10728	16466
789	10734	16441
790	10751	16433
791	10759	16410
792	10767	16388
793	10776	16367
794	10782	16343
795	10791	16322
796	10799	16300
797	10807	16279
798	10828	16277
799	10837	16256
800	10850	16241
801	10859	16221
802	10872	16207
803	10879	16184
804	10886	16161
805	10892	16136
806	10899	16112
807	10911	16097
808	10923	16081
809	10929	16056
810	10936	16033
811	10942	16009
812	10948	15985
813	10956	15963
814	10962	15939
815	10970	15917
816	10976	15893
817	10984	15872
818	10999	15860
819	11009	15842
820	11018	15823
821	11027	15802
822	11034	15780
823	11043	15761
824	11053	15742
825	11059	15718
826	11067	15698
827	11075	15677
828	11092	15668
829	11100	15647
830	11106	15624
831	11114	15602
832	11120	15578
833	11125	15554
834	11132	15532
835	11138	15508
836	11146	15487
837	11152	15465
838	11165	15450
839	11176	15434
840	11183	15412
841	11189	15389
842	11199	15371
843	11208	15352
844	11217	15333
845	11227	15314
846	11237	15297
847	11246	15278
848	11253	15256
849	11269	15247
850	11276	15225
851	11282	15202
852	11288	15179
853	11297	15159
854	11305	15139
855	11316	15123
856	11322	15100
857	11329	15079
858	11350	15076
859	11358	15056
860	11364	15034
861	11370	15011
862	11377	14990
863	11385	14970
864	11394	14950
865	11405	14935
866	11418	14922
867	11439	14918
868	11449	14901
869	11458	14883
870	11466	14862
871	11474	14843
872	11480	14820
873	11488	14800
874	11494	14778
875	11500	14756
876	11508	14736
